ratio_tp_to_sl,scale,tp_atr,sl_atr,wins,losses,time_exits,buys,sells,skipped_equal_open_pp,win_rate_excl_time_exit,total_pips,cal_ppd
1.5,0.65,0.65,0.433333,1738,2703,1932,2948,3425,665,0.391353,1407.2975,0.2
1.5,0.75,0.75,0.5,1547,2501,2325,2948,3425,665,0.382164,1227.601,0.1744
1.45,0.65,0.65,0.448276,1757,2640,1976,2948,3425,665,0.399591,1205.9399,0.1713
1.5,0.6,0.6,0.4,1828,2797,1748,2948,3425,665,0.395243,1113.9916,0.1583
1.5,0.8,0.8,0.533333,1438,2400,2535,2948,3425,665,0.374674,1051.5916,0.1494
1.5,0.85,0.85,0.566667,1335,2298,2740,2948,3425,665,0.367465,971.2258,0.138
1.45,0.75,0.75,0.517241,1561,2435,2377,2948,3425,665,0.390641,963.1632,0.1369
1.4,0.6,0.6,0.428571,1878,2681,1814,2948,3425,665,0.411932,908.8684,0.1291
1.4,0.75,0.75,0.535714,1578,2374,2421,2948,3425,665,0.399291,789.8539,0.1122
1.45,0.7,0.7,0.482759,1649,2538,2186,2948,3425,665,0.393838,734.2992,0.1043
1.45,0.8,0.8,0.551724,1455,2342,2576,2948,3425,665,0.383197,669.9424,0.0952
1.35,0.65,0.65,0.481481,1798,2511,2064,2948,3425,665,0.417266,669.2646,0.0951
1.35,0.6,0.6,0.444444,1902,2612,1859,2948,3425,665,0.421356,642.4353,0.0913
1.27,0.65,0.65,0.511811,1837,2391,2145,2948,3425,665,0.434484,517.7948,0.0736
1.4,0.65,0.65,0.464286,1779,2586,2008,2948,3425,665,0.40756,481.6667,0.0684
1.5,0.7,0.7,0.466667,1631,2609,2133,2948,3425,665,0.38467,383.1131,0.0544
1.3,0.65,0.65,0.5,1820,2437,2116,2948,3425,665,0.427531,377.5329,0.0536
1.27,0.6,0.6,0.472441,1944,2509,1920,2948,3425,665,0.43656,284.2739,0.0404
1.45,0.6,0.6,0.413793,1846,2754,1773,2948,3425,665,0.401304,276.4529,0.0393
1.4,0.55,0.55,0.392857,1959,2766,1648,2948,3425,665,0.414603,275.3414,0.0391
1.45,0.55,0.55,0.37931,1931,2824,1618,2948,3425,665,0.406099,245.3643,0.0349
1.35,0.75,0.75,0.555556,1593,2311,2469,2948,3425,665,0.408043,227.0573,0.0323
1.4,0.7,0.7,0.5,1666,2471,2236,2948,3425,665,0.402707,187.7956,0.0267
1.35,0.7,0.7,0.518519,1685,2397,2291,2948,3425,665,0.412788,135.2313,0.0192
1.45,0.85,0.85,0.586207,1337,2233,2803,2948,3425,665,0.37451,105.2882,0.015
1.27,0.55,0.55,0.433071,2035,2602,1736,2948,3425,665,0.438861,36.3572,0.0052
1.3,0.6,0.6,0.461538,1926,2556,1891,2948,3425,665,0.429719,-79.4098,-0.0113
1.5,0.55,0.55,0.366667,1902,2886,1585,2948,3425,665,0.397243,-209.8965,-0.0298
1.5,1.0,1.0,0.666667,1036,1985,3352,2948,3425,665,0.342933,-214.9019,-0.0305
1.4,0.8,0.8,0.571429,1464,2275,2634,2948,3425,665,0.391549,-240.0408,-0.0341
1.35,1.0,1.0,0.740741,1051,1745,3577,2948,3425,665,0.375894,-338.3084,-0.0481
1.3,1.0,1.0,0.769231,1055,1656,3662,2948,3425,665,0.389155,-382.3113,-0.0543
1.35,0.55,0.55,0.407407,1983,2717,1673,2948,3425,665,0.421915,-422.2425,-0.06
1.35,0.85,0.85,0.62963,1354,2079,2940,2948,3425,665,0.394407,-455.7098,-0.0647
1.5,0.95,0.95,0.633333,1122,2086,3165,2948,3425,665,0.349751,-459.2066,-0.0652
1.5,0.9,0.9,0.6,1222,2195,2956,2948,3425,665,0.357624,-469.0726,-0.0666
1.4,0.9,0.9,0.642857,1240,2039,3094,2948,3425,665,0.378164,-505.2956,-0.0718
1.3,0.7,0.7,0.538462,1704,2339,2330,2948,3425,665,0.421469,-519.7225,-0.0738
1.27,0.7,0.7,0.551181,1717,2297,2359,2948,3425,665,0.427753,-539.4899,-0.0767
1.4,1.0,1.0,0.714286,1046,1828,3499,2948,3425,665,0.363953,-545.2627,-0.0775
1.3,0.55,0.55,0.423077,2011,2653,1709,2948,3425,665,0.431175,-572.4554,-0.0813
1.35,0.8,0.8,0.592593,1467,2199,2707,2948,3425,665,0.400164,-603.7685,-0.0858
1.3,0.85,0.85,0.653846,1363,1994,3016,2948,3425,665,0.406017,-634.0212,-0.0901
1.45,1.0,1.0,0.689655,1041,1901,3431,2948,3425,665,0.353841,-755.5633,-0.1074
1.3,0.75,0.75,0.576923,1603,2240,2530,2948,3425,665,0.417122,-757.8201,-0.1077
1.4,0.85,0.85,0.607143,1343,2160,2870,2948,3425,665,0.383386,-790.7389,-0.1124
1.27,0.75,0.75,0.590551,1607,2189,2577,2948,3425,665,0.42334,-814.3565,-0.1157
1.45,0.95,0.95,0.655172,1127,2009,3237,2948,3425,665,0.359375,-830.2316,-0.118
1.27,1.0,1.0,0.787402,1055,1608,3710,2948,3425,665,0.39617,-860.2384,-0.1222
1.45,0.9,0.9,0.62069,1231,2132,3010,2948,3425,665,0.366042,-990.9634,-0.1408
1.27,0.8,0.8,0.629921,1485,2067,2821,2948,3425,665,0.418074,-1145.5503,-0.1628
1.27,0.95,0.95,0.748031,1146,1718,3509,2948,3425,665,0.40014,-1353.1449,-0.1923
1.27,0.85,0.85,0.669291,1367,1960,3046,2948,3425,665,0.410881,-1568.0903,-0.2228
1.3,0.95,0.95,0.730769,1143,1776,3454,2948,3425,665,0.391572,-1625.5035,-0.231
1.3,0.8,0.8,0.615385,1478,2126,2769,2948,3425,665,0.4101,-1649.5834,-0.2344
1.35,0.9,0.9,0.666667,1246,1977,3150,2948,3425,665,0.386596,-1657.3493,-0.2355
1.3,0.9,0.9,0.692308,1252,1881,3240,2948,3425,665,0.399617,-1803.5648,-0.2563
1.27,0.9,0.9,0.708661,1255,1834,3284,2948,3425,665,0.40628,-2115.5061,-0.3006
1.35,0.95,0.95,0.703704,1137,1857,3379,2948,3425,665,0.37976,-2119.4718,-0.3011
1.4,0.95,0.95,0.678571,1132,1944,3297,2948,3425,665,0.36801,-2130.4187,-0.3027
