seed,days,cal_ppd,total_pips,wins,losses,time_exits
0,7038,0.03167151441225797,222.90411843347158,1100,1620,4318
1,7038,-0.8134257385728866,-5724.890348075975,1073,1639,4326
2,7038,-0.4711390637968817,-3315.876731002453,1088,1652,4298
3,7038,-0.34232665429717557,-2409.2949929435217,1094,1645,4299
4,7038,-0.9012977568317627,-6343.333612581946,1075,1642,4321
5,7038,-0.45316468419667566,-3189.3730473762034,1099,1624,4315
6,7038,1.2431850765988424,8749.536569102653,1143,1558,4337
7,7038,-1.3245333143127511,-9322.065466133143,1059,1668,4311
8,7038,-0.6655594740352365,-4684.207578259995,1083,1646,4309
9,7038,-0.6638762689566793,-4672.361180917109,1074,1629,4335
10,7038,-0.07810719798036674,-549.7184593858211,1100,1617,4321
11,7038,-1.9861091645509001,-13978.236300109234,1050,1663,4325
12,7038,-1.4899860901008668,-10486.5221021299,1051,1675,4312
13,7038,-0.7800572994790617,-5490.043273733636,1061,1639,4338
14,7038,-0.6329662361169683,-4454.816369791223,1098,1619,4321
15,7038,-2.209774752433287,-15552.394707625474,1020,1678,4340
16,7038,-0.5232532628922122,-3682.6564642353896,1090,1627,4321
17,7038,-1.9000139761788017,-13372.298364346407,1095,1671,4272
18,7038,-0.15584502759801372,-1096.8373042348205,1128,1595,4315
19,7038,-1.6702459427882548,-11755.190945343737,1060,1640,4338
20,7038,-0.6862722384702206,-4829.984014353412,1081,1639,4318
21,7038,0.7098770078099779,4996.114380966625,1145,1563,4330
22,7038,-1.3166845429528924,-9266.825813302457,1061,1648,4329
23,7038,0.13141230151563627,924.8797780670479,1092,1620,4326
24,7038,-0.2389842574549736,-1681.9712039681042,1111,1629,4298
25,7038,-0.29787347332667913,-2096.4335052731676,1096,1616,4326
26,7038,-1.793258123423922,-12620.950672657564,1054,1663,4321
27,7038,-0.890922292916957,-6270.311097549544,1076,1639,4323
28,7038,-1.6096419867433696,-11328.660302699835,1058,1674,4306
29,7038,-0.9237091283090066,-6501.064845038789,1088,1632,4318
30,7038,-0.6135233792609756,-4317.977543238746,1105,1642,4291
31,7038,-1.9164385659046927,-13487.894626837227,1059,1680,4299
32,7038,-1.28375870359958,-9035.093755933845,1065,1641,4332
33,7038,-0.25503639160945885,-1794.9461241473712,1059,1663,4316
34,7038,0.20276808660476758,1427.0817935243542,1101,1603,4334
35,7038,0.06730374122505478,473.6837307419355,1125,1590,4323
36,7038,-0.6732421425347144,-4738.27819915932,1078,1656,4304
37,7038,0.026568752392355344,186.9908793373969,1093,1592,4353
38,7038,-1.2277445409847414,-8640.86607945061,1060,1652,4326
39,7038,-1.0443381092563142,-7350.051612945939,1065,1672,4301
40,7038,-1.5197812953608676,-10696.220756749786,1051,1684,4303
41,7038,-0.9403325816183392,-6618.060709429871,1088,1653,4297
42,7038,-1.3378443605472083,-9415.748609531252,1057,1678,4303
43,7038,-0.3240739425005342,-2280.8324073187596,1085,1663,4290
44,7038,-0.8628361285941334,-6072.640673045511,1072,1652,4314
45,7038,-0.15293006038875834,-1076.3217650160811,1086,1644,4308
46,7038,0.10456864431899007,735.9541187170521,1125,1591,4322
47,7038,-1.0901588716115904,-7672.538138402374,1099,1646,4293
48,7038,-1.2358404013583102,-8697.844744759786,1065,1650,4323
49,7038,-2.5179973894750454,-17721.66562712537,1031,1701,4306
50,7038,-0.6481343587229507,-4561.569616692127,1092,1631,4315
51,7038,0.11862437582903404,834.8783570847415,1118,1577,4343
52,7038,-1.8801978492938598,-13232.832463330185,1050,1682,4306
53,7038,-1.8819609526068724,-13245.241184447168,1030,1680,4328
54,7038,-0.8943942813459972,-6294.746952113128,1071,1652,4315
55,7038,-1.2202062952972046,-8587.811906301726,1070,1671,4297
56,7038,-0.49038119386360646,-3451.302842412062,1075,1629,4334
57,7038,-1.2462965434149613,-8771.435072554497,1092,1631,4315
58,7038,-0.652509211006038,-4592.359827060495,1104,1609,4325
59,7038,-0.6176198680316809,-4346.80863120697,1111,1615,4312
60,7038,0.08704836082034967,612.646363453621,1088,1609,4341
61,7038,-1.4057676256347134,-9893.792549217113,1071,1668,4299
62,7038,-0.3173858137504229,-2233.7613571754764,1084,1629,4325
63,7038,-1.513529578719303,-10652.221175026454,1075,1651,4312
64,7038,-0.14950432260984528,-1052.2114225280911,1109,1601,4328
65,7038,-0.35469725418747383,-2496.3592749714408,1084,1629,4325
66,7038,-0.5076010474256593,-3572.4961717817896,1078,1637,4323
67,7038,-0.7878035380191151,-5544.561300578532,1090,1635,4313
68,7038,-1.127166736427534,-7932.999490976984,1053,1675,4310
69,7038,-1.2682696469428976,-8926.081775184113,1060,1652,4326
70,7038,-1.0182080891309504,-7166.148531303629,1070,1652,4316
71,7038,-0.7696718400620277,-5416.950410356551,1069,1628,4341
72,7038,-1.031616230873667,-7260.515032888868,1040,1652,4346
73,7038,-1.651835349945572,-11625.617192916936,1035,1682,4321
74,7038,-0.3901644305560516,-2745.977262253491,1099,1617,4322
75,7038,0.6361925331813254,4477.523048530168,1106,1600,4332
76,7038,-1.3056153007881295,-9188.920486946856,1059,1661,4318
77,7038,0.734222524845064,5167.45812985956,1103,1588,4347
78,7038,-0.272099313287281,-1915.0349669158834,1092,1630,4316
79,7038,-2.1007485657030625,-14785.068405418155,1041,1677,4320
80,7038,-1.8720026775838632,-13175.15484483523,1049,1668,4321
81,7038,-0.1979025996836922,-1392.8384965738258,1104,1613,4321
82,7038,-1.3870963600936634,-9762.384182339203,1094,1648,4296
83,7038,-0.8043165815856936,-5660.780101200112,1084,1629,4325
84,7038,-0.9464871187722399,-6661.3763419190245,1090,1639,4309
85,7038,-1.1912697582721592,-8384.156558719456,1070,1685,4283
86,7038,-0.9329183945315427,-6565.879660712997,1050,1669,4319
87,7038,-1.1876266113999396,-8358.516091032776,1100,1632,4306
88,7038,-0.13084139600581965,-920.8617450889586,1091,1615,4332
89,7038,-1.172175033395526,-8249.767885037712,1062,1655,4321
90,7038,-0.6590054694906403,-4638.0804942751265,1103,1610,4325
91,7038,-1.3986851357953414,-9843.945985727612,1044,1655,4339
92,7038,-1.4742819834267076,-10375.996599357168,1078,1643,4317
93,7038,0.5262167885492397,3703.513757809549,1137,1601,4300
94,7038,-0.5664732516481911,-3986.838745099969,1105,1618,4315
95,7038,-2.5330734454137067,-17827.77090882167,1036,1747,4255
96,7038,-0.8081184917604483,-5687.5379450100345,1061,1644,4333
97,7038,-0.9031266423081993,-6356.205308565107,1108,1609,4321
98,7038,-0.3974494925349223,-2797.249528460783,1087,1639,4312
99,7038,-0.7111042991234329,-5004.75205723072,1078,1653,4307
100,7038,-0.46897489141592535,-3300.645285785283,1109,1635,4294
101,7038,-1.3340677470880322,-9389.16880400557,1088,1664,4286
102,7038,-1.8569002524119094,-13068.863976475019,1079,1666,4293
103,7038,-1.4107958282558326,-9929.18103926455,1050,1682,4306
104,7038,0.6085682181549471,4283.1031193745175,1106,1621,4311
105,7038,-1.1721266932229384,-8249.42766690304,1083,1656,4299
106,7038,0.3174856170302975,2234.4637726592337,1106,1602,4330
107,7038,-0.22304060154115793,-1569.7597536466694,1090,1642,4306
108,7038,-0.30320872494710793,-2133.9830061777457,1094,1605,4339
109,7038,-0.13263856004973787,-933.5101856300552,1093,1626,4319
110,7038,-1.24173972098039,-8739.364156259984,1067,1664,4307
111,7038,0.6070150086523209,4272.1716308950345,1148,1567,4323
112,7038,-1.7121284981153153,-12049.960369735589,1043,1672,4323
113,7038,-0.29380259836028866,-2067.7826872597116,1078,1648,4312
114,7038,-3.1807397087503437,-22386.04607018492,1003,1740,4295
115,7038,0.27810122589374103,1957.2764278401494,1113,1601,4324
116,7038,-0.2737575583107586,-1926.705695391119,1118,1629,4291
117,7038,-0.13401377908257905,-943.1889771831915,1123,1601,4314
118,7038,-0.500970411123508,-3525.82975348725,1110,1620,4308
119,7038,-1.2123148554435204,-8532.271952611496,1100,1629,4309
120,7038,-0.284084899021539,-1999.3895193135916,1072,1631,4335
121,7038,-0.677022075519305,-4764.881367504869,1066,1654,4318
122,7038,-0.2776120486882495,-1953.8335986679,1116,1620,4302
123,7038,-0.8886859769067083,-6254.571905469413,1098,1630,4310
124,7038,-0.0861277632849468,-606.1671979994555,1108,1603,4327
125,7038,-1.6350990361821562,-11507.827016650015,1062,1657,4319
126,7038,0.29911722177814437,2105.18700687458,1104,1628,4306
127,7038,-0.5134010101645871,-3613.3163095383634,1090,1618,4330
128,7038,-0.5204883917229383,-3663.19730094604,1076,1646,4316
129,7038,1.129417363609297,7948.839405082233,1137,1561,4340
130,7038,-0.4976608430097732,-3502.537013102784,1086,1611,4341
131,7038,-0.2406672885995263,-1693.816377163466,1106,1623,4309
132,7038,-0.36571358417397615,-2573.892205416444,1091,1627,4320
133,7038,-1.2387999784569352,-8718.67424837991,1047,1664,4327
134,7038,-1.5450568767246848,-10874.110298388332,1065,1659,4314
135,7038,-0.6083090524018206,-4281.279110804014,1085,1630,4323
136,7038,-0.8848595783947534,-6227.641712742275,1089,1653,4296
137,7038,-0.5234746719383933,-3684.2147411024116,1094,1631,4313
138,7038,-1.5424416660090967,-10855.704445372023,1059,1677,4302
139,7038,-0.31050142592689556,-2185.309035673491,1087,1638,4313
140,7038,-0.00998713270442209,-70.28943997372266,1119,1593,4326
141,7038,0.24935189513573883,1754.93863796533,1100,1583,4355
142,7038,-0.6136540925899433,-4318.897503648021,1091,1649,4298
143,7038,-0.488795842698945,-3440.145140915175,1082,1623,4333
144,7038,-0.8161830479362545,-5744.296291375359,1105,1635,4298
145,7038,0.6899292559235669,4855.7221031900635,1106,1582,4350
146,7038,-0.660594490513498,-4649.2640242339985,1118,1618,4302
147,7038,-0.9604379098060976,-6759.562009215315,1069,1641,4328
148,7038,0.24229589638645557,1705.2785187678744,1107,1610,4321
149,7038,-0.885901137108076,-6234.972202966639,1071,1633,4334
150,7038,-1.4372608646945781,-10115.441965720442,1064,1649,4325
151,7038,-0.15752420457629804,-1108.6553518079857,1101,1585,4352
152,7038,-0.9889413649714434,-6960.169326669018,1097,1654,4287
153,7038,-0.765828504604074,-5389.901015403473,1093,1629,4316
154,7038,-0.4507203819285354,-3172.170048013032,1092,1616,4330
155,7038,-2.030220843484593,-14288.694296444566,1040,1709,4289
156,7038,-1.2484594477803845,-8786.657593478347,1063,1649,4326
157,7038,-0.28952187299326354,-2037.6549421265888,1079,1633,4326
158,7038,-0.4115100946118819,-2896.208045878425,1100,1627,4311
159,7038,-0.8380633209889928,-5898.2896531205315,1098,1637,4303
160,7038,-0.48937739789575846,-3444.238126390348,1065,1657,4316
161,7038,-0.14235470117281177,-1001.8923868542491,1077,1629,4332
162,7038,-0.1380581284742566,-971.653108201818,1119,1637,4282
163,7038,-1.574756090919668,-11083.133367892624,1065,1675,4298
164,7038,-0.6450907434597951,-4540.148652470038,1083,1661,4294
165,7038,-0.4137110367291104,-2911.698276499479,1094,1634,4310
166,7038,-0.41961957247318654,-2953.282551066287,1105,1620,4313
167,7038,-0.8046662114258131,-5663.240796014872,1090,1637,4311
168,7038,-0.08503780658531684,-598.4960827474599,1089,1629,4320
169,7038,-0.660652583467992,-4649.672882447728,1081,1645,4312
170,7038,-0.7968368071901584,-5608.1374490043345,1077,1632,4329
171,7038,-1.181936243286494,-8318.467280250345,1094,1627,4317
172,7038,-0.14240018464538615,-1002.2124995342276,1085,1620,4333
173,7038,-1.1218274980671663,-7895.421931396717,1080,1649,4309
174,7038,-0.9783706564202898,-6885.772679885999,1092,1631,4315
175,7038,-0.8306110072438948,-5845.840268982532,1065,1672,4301
176,7038,-1.6399438952697623,-11541.925134908586,1059,1680,4299
177,7038,-0.6369584743304608,-4482.913742337783,1109,1610,4319
178,7038,-0.7326662613585031,-5156.505147441145,1077,1657,4304
179,7038,-1.9855928659199569,-13974.602590344657,1044,1683,4311
180,7038,-0.08011729423125838,-563.8655167995964,1089,1623,4326
181,7038,-1.8874798282035825,-13284.083030896814,1029,1719,4290
182,7038,-1.116761542288214,-7859.76773462445,1062,1653,4323
183,7038,-1.9455463925191097,-13692.755510549494,1031,1700,4307
184,7038,-0.7751977979893389,-5455.8421022489665,1075,1656,4307
185,7038,-1.59750955500576,-11243.272248130539,1052,1680,4306
186,7038,-0.7084064857300194,-4985.764846567877,1075,1632,4331
187,7038,-0.8953850343413079,-6301.719871694125,1070,1641,4327
188,7038,-0.6938701640460511,-4883.458214556107,1054,1648,4336
189,7038,-0.3633071377271891,-2556.955635323957,1116,1625,4297
190,7038,0.2513268491082551,1768.8383640238992,1121,1562,4355
191,7038,-0.36043507182179874,-2536.7420354818196,1101,1633,4304
192,7038,-1.493542352049283,-10511.551073722854,1082,1670,4286
193,7038,-0.14005485405334672,-985.7060628274542,1131,1615,4292
194,7038,-0.482377494990419,-3394.9728097425686,1091,1633,4314
195,7038,-1.4371836653979133,-10114.898637070513,1057,1659,4322
196,7038,-0.9915346827956324,-6978.421097515661,1085,1620,4333
197,7038,-0.4392072546345333,-3091.1406581178453,1072,1636,4330
198,7038,0.12903817790370722,908.1706960862915,1096,1598,4344
199,7038,-0.3374660535469134,-2375.0860848631764,1079,1622,4337
